Andre Ewell (13543586),Max Griffin (13543573),Niko Price (13543589),Eryk Anders (13543575),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),50000,-990,0
Andre Ewell (13543586),Alex Morono (13543574),Niko Price (13543589),Mike Davis (13543581),Kron Gracie (13543579),Joanna Jedrzejczyk (13543565),50000,-738,0
Andre Ewell (13543586),Amanda Ribas (13543572),Niko Price (13543589),Mike Davis (13543581),Kron Gracie (13543579),Joanna Jedrzejczyk (13543565),49900,-736,0
Andre Ewell (13543586),James Vick (13543590),Eryk Anders (13543575),Mike Davis (13543581),Kron Gracie (13543579),Joanna Jedrzejczyk (13543565),49900,-728,0
Andre Ewell (13543586),Cub Swanson (13543580),Max Griffin (13543573),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),50000,-765,0
Andre Ewell (13543586),Devin Clark (13543568),Max Griffin (13543573),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),50000,-909,0
Andre Ewell (13543586),Lauren Mueller (13543570),Mackenzie Dern (13543571),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),50000,-901,0
Andre Ewell (13543586),Matt Frevola (13543588),Niko Price (13543589),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),50000,-909,0
Tim Elliott (13543578),Andre Ewell (13543586),Mike Davis (13543581),Kron Gracie (13543579),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),50000,-899,0
Hector Aldana (13543584),Andre Ewell (13543586),Mike Davis (13543581),Kron Gracie (13543579),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49900,-882,0
Andrew Sanchez (13543592),Andre Ewell (13543586),Mike Davis (13543581),JJ Aldrich (13543569),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),49900,-660,0
Andre Ewell (13543586),Amanda Ribas (13543572),Alex Morono (13543574),Mike Davis (13543581),JJ Aldrich (13543569),Joanna Jedrzejczyk (13543565),49700,-463,0
Andre Ewell (13543586),Gerald Meerschaert (13543576),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),50000,-513,0
Andre Ewell (13543586),Cub Swanson (13543580),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49900,-634,0
Andre Ewell (13543586),Devin Clark (13543568),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49800,-643,0
Andre Ewell (13543586),Lauren Mueller (13543570),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49700,-633,0
Andre Ewell (13543586),Matt Frevola (13543588),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49600,-633,0
Tim Elliott (13543578),Andre Ewell (13543586),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49300,-610,0
Hector Aldana (13543584),Andre Ewell (13543586),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49200,-593,0
Andrew Sanchez (13543592),Andre Ewell (13543586),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),49000,-368,0
Andre Ewell (13543586),James Vick (13543590),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),50000,-508,0
Andre Ewell (13543586),Gerald Meerschaert (13543576),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),50000,-646,0
Andre Ewell (13543586),Cub Swanson (13543580),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49800,-632,0
Andre Ewell (13543586),Devin Clark (13543568),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49700,-641,0
Andre Ewell (13543586),Lauren Mueller (13543570),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49600,-631,0
Andre Ewell (13543586),Matt Frevola (13543588),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49500,-631,0
Tim Elliott (13543578),Andre Ewell (13543586),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49200,-608,0
Hector Aldana (13543584),Andre Ewell (13543586),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49100,-591,0
Andrew Sanchez (13543592),Andre Ewell (13543586),Amanda Ribas (13543572),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),48900,-366,0
Andre Ewell (13543586),Gerald Meerschaert (13543576),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49900,-639,0
Andre Ewell (13543586),Cub Swanson (13543580),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49700,-625,0
Andre Ewell (13543586),Devin Clark (13543568),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49600,-634,0
Andre Ewell (13543586),Lauren Mueller (13543570),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49500,-624,0
Andre Ewell (13543586),Matt Frevola (13543588),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49400,-624,0
Tim Elliott (13543578),Andre Ewell (13543586),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49100,-601,0
Hector Aldana (13543584),Andre Ewell (13543586),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49000,-584,0
Andrew Sanchez (13543592),Andre Ewell (13543586),James Vick (13543590),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),48800,-359,0
Andre Ewell (13543586),Cub Swanson (13543580),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49600,-628,0
Andre Ewell (13543586),Devin Clark (13543568),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49500,-637,0
Andre Ewell (13543586),Lauren Mueller (13543570),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49400,-627,0
Andre Ewell (13543586),Matt Frevola (13543588),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49300,-627,0
Tim Elliott (13543578),Andre Ewell (13543586),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49000,-604,0
Hector Aldana (13543584),Andre Ewell (13543586),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),48900,-587,0
Andrew Sanchez (13543592),Andre Ewell (13543586),Gerald Meerschaert (13543576),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),48700,-362,0
Andre Ewell (13543586),Devin Clark (13543568),Cub Swanson (13543580),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49300,-623,0
Andre Ewell (13543586),Lauren Mueller (13543570),Cub Swanson (13543580),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49200,-613,0
Andre Ewell (13543586),Matt Frevola (13543588),Cub Swanson (13543580),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49100,-613,0
Tim Elliott (13543578),Andre Ewell (13543586),Cub Swanson (13543580),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),48800,-590,0
Hector Aldana (13543584),Andre Ewell (13543586),Cub Swanson (13543580),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),48700,-573,0
Andrew Sanchez (13543592),Andre Ewell (13543586),Cub Swanson (13543580),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),48500,-348,0
Andre Ewell (13543586),Lauren Mueller (13543570),Devin Clark (13543568),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49100,-622,0
Andre Ewell (13543586),Matt Frevola (13543588),Devin Clark (13543568),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49000,-622,0
Tim Elliott (13543578),Andre Ewell (13543586),Devin Clark (13543568),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),48700,-599,0
Hector Aldana (13543584),Andre Ewell (13543586),Devin Clark (13543568),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),48600,-582,0
Andrew Sanchez (13543592),Andre Ewell (13543586),Devin Clark (13543568),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),48400,-357,0
Andre Ewell (13543586),Matt Frevola (13543588),Lauren Mueller (13543570),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),48900,-612,0
Tim Elliott (13543578),Andre Ewell (13543586),Lauren Mueller (13543570),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),48600,-589,0
Hector Aldana (13543584),Andre Ewell (13543586),Lauren Mueller (13543570),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),48500,-572,0
Andrew Sanchez (13543592),Andre Ewell (13543586),Lauren Mueller (13543570),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),48300,-347,0
Tim Elliott (13543578),Andre Ewell (13543586),Matt Frevola (13543588),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),48500,-589,0
Hector Aldana (13543584),Andre Ewell (13543586),Matt Frevola (13543588),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),48400,-572,0
Andrew Sanchez (13543592),Andre Ewell (13543586),Matt Frevola (13543588),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),48200,-347,0
Hector Aldana (13543584),Tim Elliott (13543578),Andre Ewell (13543586),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),48100,-549,0
Andrew Sanchez (13543592),Tim Elliott (13543578),Andre Ewell (13543586),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),47900,-324,0
Andrew Sanchez (13543592),Hector Aldana (13543584),Andre Ewell (13543586),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Deiveson Figueiredo (13543577),47700,-282,0
