Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Odds,,,,,,
RB,Travis Homer (13565134),Travis Homer,13565134,RB/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,SEA,0,2200,,,Andre Patton,10000,10000,2200
RB,Nick Bellore (13565136),Nick Bellore,13565136,RB/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,SEA,0.5,2200,,,Lance Kendricks,10000,10000,2200
WR,Seth Roberts (13565396),Seth Roberts,13565396,WR/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,BAL,3.27,600,,,Derek Watt,10000,10000,2200
WR,Jaleel Scott (13565398),Jaleel Scott,13565398,WR/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,BAL,0,2200,,,Troymaine Pope,10000,10000,2200
WR,John Ursua (13565400),John Ursua,13565400,WR/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,SEA,0,2200,,,Philip Rivers,10000,10000,2200
WR,Gary Jennings (13565402),Gary Jennings,13565402,WR/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,SEA,0,2200,,,Rod Smith,10000,10000,2200
TE,Luke Willson (13565444),Luke Willson,13565444,TE/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,SEA,3.4,300,,,Chris Carson,550,550,-155
TE,Hayden Hurst (13565446),Hayden Hurst,13565446,TE/FLEX,3000,BAL@SEA 10/20/2019 04:25PM ET,BAL,5.35,550,,,Tyler Lockett,750,750,108
RB,Dwayne Washington (13565128),Dwayne Washington,13565128,RB/FLEX,3000,NO@CHI 10/20/2019 04:25PM ET,NO,0,850,,,Mark Ingram II,750,750,-106
RB,Zach Line (13565130),Zach Line,13565130,RB/FLEX,3000,NO@CHI 10/20/2019 04:25PM ET,NO,0.22,2200,,,DK Metcalf,950,950,130
WR,Austin Carr (13565392),Austin Carr,13565392,WR/FLEX,3000,NO@CHI 10/20/2019 04:25PM ET,NO,0,1600,,,Mark Andrews,1300,1300,190
WR,Riley Ridley (13565394),Riley Ridley,13565394,WR/FLEX,3000,NO@CHI 10/20/2019 04:25PM ET,CHI,0,2200,,,Lamar Jackson,1300,1300,190
DST,Bears  (13565570),Bears ,13565570,DST,3000,NO@CHI 10/20/2019 04:25PM ET,CHI,11.2,#N/A,,,Jaron Brown,1400,1400,220
RB,Derek Watt (13565126),Derek Watt,13565126,RB/FLEX,3000,LAC@TEN 10/20/2019 04:05PM ET,LAC,1.08,2200,,,Marquise Brown,1600,1600,250
WR,Travis Benjamin (13565388),Travis Benjamin,13565388,WR/FLEX,3000,LAC@TEN 10/20/2019 04:05PM ET,LAC,1.8,#N/A,,,Luke Willson,1800,1800,300
WR,Darius Jennings (13565390),Darius Jennings,13565390,WR/FLEX,3000,LAC@TEN 10/20/2019 04:05PM ET,TEN,0.62,2200,,,Russell Wilson,2000,2000,300
RB,Kyle Juszczyk (13565124),Kyle Juszczyk,13565124,RB/FLEX,3000,SF@WAS 10/20/2019 01:00PM ET,SF,3.55,#N/A,,,Willie Snead IV,2200,2200,325
WR,Kelvin Harmon (13565382),Kelvin Harmon,13565382,WR/FLEX,3000,SF@WAS 10/20/2019 01:00PM ET,WAS,1.95,900,,,Any Other Seattle Seahawks Player,2200,2200,375
WR,Richie James Jr. (13565384),Richie James Jr.,13565384,WR/FLEX,3000,SF@WAS 10/20/2019 01:00PM ET,SF,3.16,#N/A,,,Miles Boykin,2800,2800,450
WR,Kendrick Bourne (13565386),Kendrick Bourne,13565386,WR/FLEX,3000,SF@WAS 10/20/2019 01:00PM ET,SF,2.6,950,,,Gus Edwards,2800,2800,450
RB,D.J. Foster (13565122),D.J. Foster,13565122,RB/FLEX,3000,ARI@NYG 10/20/2019 01:00PM ET,ARI,0,2200,,,Any Other Baltimore Ravens Player,2800,2800,450
WR,Trent Sherfield (13565378),Trent Sherfield,13565378,WR/FLEX,3000,ARI@NYG 10/20/2019 01:00PM ET,ARI,1.77,850,,,Rashaad Penny,3300,3300,550
WR,Cody Core (13565380),Cody Core,13565380,WR/FLEX,3000,ARI@NYG 10/20/2019 01:00PM ET,NYG,0.97,2200,,,Hayden Hurst,3300,3300,550
RB,Taiwan Jones (13565116),Taiwan Jones,13565116,RB/FLEX,3000,HOU@IND 10/20/2019 01:00PM ET,HOU,0,2200,,,Seth Roberts,3500,3500,600
RB,Buddy Howell (13565118),Buddy Howell,13565118,RB/FLEX,3000,HOU@IND 10/20/2019 01:00PM ET,HOU,0,2200,,,Nick Boyle,4000,4000,700
RB,Cullen Gillaspia (13565120),Cullen Gillaspia,13565120,RB/FLEX,3000,HOU@IND 10/20/2019 01:00PM ET,HOU,0,2200,,,David Moore,4500,4500,850
WR,Ashton Dulin (13565374),Ashton Dulin,13565374,WR/FLEX,3000,HOU@IND 10/20/2019 01:00PM ET,IND,0,2200,,,Justice Hill,4500,4500,800
WR,Devin Funchess (13565376),Devin Funchess,13565376,WR/FLEX,3000,HOU@IND 10/20/2019 01:00PM ET,IND,6.2,#N/A,,,Chris Moore,7500,7500,1400
DST,Texans  (13565569),Texans ,13565569,DST,3000,HOU@IND 10/20/2019 01:00PM ET,HOU,7.33,#N/A,,,C.J. Prosise,8000,8000,1400
RB,Danny Vitale (13565114),Danny Vitale,13565114,RB/FLEX,3000,OAK@GB 10/20/2019 01:00PM ET,GB,1.57,#N/A,,,Patrick Ricard,8000,8000,1400
WR,Dwayne Harris (13565366),Dwayne Harris,13565366,WR/FLEX,3000,OAK@GB 10/20/2019 01:00PM ET,OAK,0.85,1000,,,Jacob Hollister,8000,8000,1400
WR,Keelan Doss (13565368),Keelan Doss,13565368,WR/FLEX,3000,OAK@GB 10/20/2019 01:00PM ET,OAK,1.38,800,,,Gary Jennings,10000,10000,2200
WR,Jalin Marshall (13565370),Jalin Marshall,13565370,WR/FLEX,3000,OAK@GB 10/20/2019 01:00PM ET,OAK,0,#N/A,,,Malik Turner,10000,10000,2200
WR,Allen Lazard (13565372),Allen Lazard,13565372,WR/FLEX,3000,OAK@GB 10/20/2019 01:00PM ET,GB,2.75,220,,,John Ursua,10000,10000,2200
RB,Ameer Abdullah (13565104),Ameer Abdullah,13565104,RB/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,MIN,1.13,1400,,,Nick Bellore,10000,10000,2200
RB,Mike Boone (13565106),Mike Boone,13565106,RB/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,MIN,0.47,2200,,,Travis Homer,10000,10000,2200
RB,C.J. Ham (13565108),C.J. Ham,13565108,RB/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,MIN,0.98,2200,,,Jaleel Scott,10000,10000,2200
RB,J.D. McKissic (13565110),J.D. McKissic,13565110,RB/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,DET,3.44,600,,,Alvin Kamara,550,550,110
RB,Nick Bawden (13565112),Nick Bawden,13565112,RB/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,DET,0.88,2200,,,David Montgomery,700,700,135
WR,Olabisi Johnson (13565362),Olabisi Johnson,13565362,WR/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,MIN,3.07,800,,,Allen Robinson II,700,700,130
WR,Laquon Treadwell (13565364),Laquon Treadwell,13565364,WR/FLEX,3000,MIN@DET 10/20/2019 01:00PM ET,MIN,0.83,1200,,,Latavius Murray,700,700,140
RB,Tyler Ervin (13565096),Tyler Ervin,13565096,RB/FLEX,3000,JAX@CIN 10/20/2019 01:00PM ET,JAX,0,2200,,,Michael Thomas,850,850,175
RB,Devine Ozigbo (13565098),Devine Ozigbo,13565098,RB/FLEX,3000,JAX@CIN 10/20/2019 01:00PM ET,JAX,0,2200,,,Tarik Cohen,1050,1050,200
RB,Roc Thomas (13565100),Roc Thomas,13565100,RB/FLEX,3000,JAX@CIN 10/20/2019 01:00PM ET,JAX,0,#N/A,,,Taylor Gabriel,1300,1300,285
RB,Trayveon Williams (13565102),Trayveon Williams,13565102,RB/FLEX,3000,JAX@CIN 10/20/2019 01:00PM ET,CIN,0,2200,,,Jared Cook,1500,1500,325
WR,C.J. Board (13565358),C.J. Board,13565358,WR/FLEX,3000,JAX@CIN 10/20/2019 01:00PM ET,JAX,0,750,,,Josh Hill,1500,1500,325
WR,Damion Willis (13565360),Damion Willis,13565360,WR/FLEX,3000,JAX@CIN 10/20/2019 01:00PM ET,CIN,2.87,900,,,Ted Ginn Jr.,1500,1500,325
TE,Tyler Eifert (13565442),Tyler Eifert,13565442,TE/FLEX,3000,JAX@CIN 10/20/2019 01:00PM ET,CIN,5.3,400,,,Trey Burton,2000,2000,450
RB,Chandler Cox (13565088),Chandler Cox,13565088,RB/FLEX,3000,MIA@BUF 10/20/2019 01:00PM ET,MIA,0,2200,,,Anthony Miller,2200,2200,500
RB,Patrick Laird (13565090),Patrick Laird,13565090,RB/FLEX,3000,MIA@BUF 10/20/2019 01:00PM ET,MIA,0,2200,,,Any Other Chicago Bears Player,2200,2200,500
RB,Myles Gaskin (13565092),Myles Gaskin,13565092,RB/FLEX,3000,MIA@BUF 10/20/2019 01:00PM ET,MIA,0,2200,,,Tre'Quan Smith,2500,2500,600
RB,Patrick DiMarco (13565094),Patrick DiMarco,13565094,RB/FLEX,3000,MIA@BUF 10/20/2019 01:00PM ET,BUF,0.86,2200,,,Taysom Hill,2500,2500,600
WR,Andre Roberts (13565356),Andre Roberts,13565356,WR/FLEX,3000,MIA@BUF 10/20/2019 01:00PM ET,BUF,0.77,1800,,,Mitchell Trubisky,3000,3000,700
TE,Tyler Kroft (13565448),Tyler Kroft,13565448,TE/FLEX,3000,MIA@BUF 10/20/2019 01:00PM ET,BUF,0,425,,,Any Other New Orleans Saints Player,3000,3000,700
RB,Kenjon Barner (13565082),Kenjon Barner,13565082,RB/FLEX,3000,LAR@ATL 10/20/2019 01:00PM ET,ATL,0.35,2200,,,Cordarrelle Patterson,3300,3300,750
RB,Brian Hill (13565084),Brian Hill,13565084,RB/FLEX,3000,LAR@ATL 10/20/2019 01:00PM ET,ATL,0,#N/A,,,Dwayne Washington,3500,3500,850
RB,Keith Smith (13565086),Keith Smith,13565086,RB/FLEX,3000,LAR@ATL 10/20/2019 01:00PM ET,ATL,0.03,2200,,,Zach Zenner,3500,3500,850
WR,JoJo Natson (13565346),JoJo Natson,13565346,WR/FLEX,3000,LAR@ATL 10/20/2019 01:00PM ET,LAR,0,2200,,,Teddy Bridgewater,4000,4000,1000
WR,Mike Thomas (13565348),Mike Thomas,13565348,WR/FLEX,3000,LAR@ATL 10/20/2019 01:00PM ET,LAR,0,2200,,,Adam Shaheen,4500,4500,1050
WR,Justin Hardy (13565350),Justin Hardy,13565350,WR/FLEX,3000,LAR@ATL 10/20/2019 01:00PM ET,ATL,1.87,1000,,,Javon Wims,4500,4500,1050
WR,Russell Gage (13565352),Russell Gage,13565352,WR/FLEX,3000,LAR@ATL 10/20/2019 01:00PM ET,ATL,1,2200,,,J.P. Holtz,4500,4500,1050
WR,Olamide Zaccheaus (13565354),Olamide Zaccheaus,13565354,WR/FLEX,3000,LAR@ATL 10/20/2019 01:00PM ET,ATL,0,2200,,,Chase Daniel,6000,6000,1300
TE,Nick Boyle (13565454),Nick Boyle,13565454,TE/FLEX,2900,BAL@SEA 10/20/2019 04:25PM ET,BAL,3.92,700,,,Austin Carr,7000,7000,1600
TE,Jacob Hollister (13565458),Jacob Hollister,13565458,TE/FLEX,2900,BAL@SEA 10/20/2019 04:25PM ET,SEA,0,1400,,,Lil'Jordan Humphrey,7000,7000,1600
DST,Saints  (13565571),Saints ,13565571,DST,2900,NO@CHI 10/20/2019 04:25PM ET,NO,9,#N/A,,,Bradley Sowell,10000,10000,2200
TE,Kyle Rudolph (13565452),Kyle Rudolph,13565452,TE/FLEX,2900,MIN@DET 10/20/2019 01:00PM ET,MIN,2.7,350,,,Riley Ridley,10000,10000,2200
TE,Geoff Swaim (13565456),Geoff Swaim,13565456,TE/FLEX,2900,JAX@CIN 10/20/2019 01:00PM ET,JAX,3.25,#N/A,,,Ben Braunecker,10000,10000,2200
TE,Tyler Higbee (13565450),Tyler Higbee,13565450,TE/FLEX,2900,LAR@ATL 10/20/2019 01:00PM ET,LAR,7.48,325,,,Mike Davis,10000,10000,2200
DST,Seahawks  (13565572),Seahawks ,13565572,DST,2800,BAL@SEA 10/20/2019 04:25PM ET,SEA,7.5,#N/A,,,Zach Line,10000,10000,2200
TE,Lance Kendricks (13565462),Lance Kendricks,13565462,TE/FLEX,2800,LAC@TEN 10/20/2019 04:05PM ET,LAC,2,2200,,,Deonte Harris,10000,10000,2200
TE,Jonnu Smith (13565464),Jonnu Smith,13565464,TE/FLEX,2800,LAC@TEN 10/20/2019 04:05PM ET,TEN,2.78,1400,,,Brian Parker,10000,10000,2200
TE,Josh Oliver (13565460),Josh Oliver,13565460,TE/FLEX,2800,JAX@CIN 10/20/2019 01:00PM ET,JAX,0,600,,,Ezekiel Elliott,450,450,-200
TE,Virgil Green (13565472),Virgil Green,13565472,TE/FLEX,2700,LAC@TEN 10/20/2019 04:05PM ET,LAC,1.46,1100,,,Jordan Howard,800,800,100
TE,Maxx Williams (13565474),Maxx Williams,13565474,TE/FLEX,2700,ARI@NYG 10/20/2019 01:00PM ET,ARI,3.8,700,,,Amari Cooper,900,900,130
TE,Foster Moreau (13565468),Foster Moreau,13565468,TE/FLEX,2700,OAK@GB 10/20/2019 01:00PM ET,OAK,5.14,400,,,Michael Gallup,1000,1000,140
TE,Marcedes Lewis (13565470),Marcedes Lewis,13565470,TE/FLEX,2700,OAK@GB 10/20/2019 01:00PM ET,GB,3.48,550,,,Alshon Jeffrey,1000,1000,145
TE,Jesse James (13565466),Jesse James,13565466,TE/FLEX,2700,MIN@DET 10/20/2019 01:00PM ET,DET,2.28,850,,,Jason Witten,1100,1100,165
DST,Rams  (13565573),Rams ,13565573,DST,2700,LAR@ATL 10/20/2019 01:00PM ET,LAR,6.83,#N/A,,,Zach Ertz,1100,1100,160
TE,Adam Shaheen (13565476),Adam Shaheen,13565476,TE/FLEX,2600,NO@CHI 10/20/2019 04:25PM ET,CHI,2.4,1050,,,Miles Sanders,1200,1200,200
TE,Josh Hill (13565496),Josh Hill,13565496,TE/FLEX,2600,NO@CHI 10/20/2019 04:25PM ET,NO,2.8,325,,,Dak Prescott,1500,1500,225
TE,Bradley Sowell (13565498),Bradley Sowell,13565498,TE/FLEX,2600,NO@CHI 10/20/2019 04:25PM ET,CHI,0,2200,,,Tavon Austin,1800,1800,300
TE,Jeremy Sprinkle (13565490),Jeremy Sprinkle,13565490,TE/FLEX,2600,SF@WAS 10/20/2019 01:00PM ET,WAS,3.15,400,,,Nelson Agholor,1800,1800,300
TE,Jerome Cunningham (13565492),Jerome Cunningham,13565492,TE/FLEX,2600,SF@WAS 10/20/2019 01:00PM ET,WAS,0,#N/A,,,Devin Smith,2000,2000,325
TE,Hale Hentges (13565494),Hale Hentges,13565494,TE/FLEX,2600,SF@WAS 10/20/2019 01:00PM ET,WAS,0,1800,,,Dallas Goedert,2000,2000,325
TE,Charles Clay (13565486),Charles Clay,13565486,TE/FLEX,2600,ARI@NYG 10/20/2019 01:00PM ET,ARI,2.13,600,,,Cedrick Wilson,2200,2200,400
TE,Darrell Daniels (13565488),Darrell Daniels,13565488,TE/FLEX,2600,ARI@NYG 10/20/2019 01:00PM ET,ARI,0,#N/A,,,Blake Jarwin,2500,2500,425
TE,Irv Smith Jr. (13565478),Irv Smith Jr.,13565478,TE/FLEX,2600,MIN@DET 10/20/2019 01:00PM ET,MIN,2.72,800,,,Randall Cobb,2500,2500,425
TE,Ben Koyack (13565482),Ben Koyack,13565482,TE/FLEX,2600,JAX@CIN 10/20/2019 01:00PM ET,JAX,0,1500,,,Any Other Dallas Cowboys Player,2500,2500,450
TE,C.J. Uzomah (13565484),C.J. Uzomah,13565484,TE/FLEX,2600,JAX@CIN 10/20/2019 01:00PM ET,CIN,3.13,525,,,Any Other PHI Eagles Player,2500,2500,450
TE,Mike Gesicki (13565480),Mike Gesicki,13565480,TE/FLEX,2600,MIA@BUF 10/20/2019 01:00PM ET,MIA,3.84,800,,,Mack Hollins,3000,3000,525
TE,Will Dissly (13565506),Will Dissly,13565506,TE/FLEX,2500,BAL@SEA 10/20/2019 04:25PM ET,SEA,12.32,#N/A,,,Tony Pollard,3500,3500,550
TE,Tyler Ott (13565560),Tyler Ott,13565560,TE/FLEX,2500,BAL@SEA 10/20/2019 04:25PM ET,SEA,0,#N/A,,,Carson Wentz,4000,4000,650
TE,Ben Braunecker (13565502),Ben Braunecker,13565502,TE/FLEX,2500,NO@CHI 10/20/2019 04:25PM ET,CHI,0.88,2200,,,JJ Arcega-Whiteside,7000,7000,1200
TE,J.P. Holtz (13565556),J.P. Holtz,13565556,TE/FLEX,2500,NO@CHI 10/20/2019 04:25PM ET,CHI,1.08,1050,,,Boston Scott,7000,7000,1200
TE,Patrick Scales (13565558),Patrick Scales,13565558,TE/FLEX,2500,NO@CHI 10/20/2019 04:25PM ET,CHI,0,#N/A,,,Dalton Schultz,10000,10000,2200
TE,MyCole Pruitt (13565550),MyCole Pruitt,13565550,TE/FLEX,2500,LAC@TEN 10/20/2019 04:05PM ET,TEN,0,2200,,,Jamize Olawale,10000,10000,2200
TE,Anthony Firkser (13565552),Anthony Firkser,13565552,TE/FLEX,2500,LAC@TEN 10/20/2019 04:05PM ET,TEN,0.7,2200,,,Ventell Bryant,10000,10000,1800
TE,Beau Brinkley (13565554),Beau Brinkley,13565554,TE/FLEX,2500,LAC@TEN 10/20/2019 04:05PM ET,TEN,0,#N/A,,,Le'Veon Bell,550,550,-139
TE,Ross Dwelley (13565544),Ross Dwelley,13565544,TE/FLEX,2500,SF@WAS 10/20/2019 01:00PM ET,SF,0.34,2200,,,Sony Michel,550,550,-125
TE,Levine Toilolo (13565546),Levine Toilolo,13565546,TE/FLEX,2500,SF@WAS 10/20/2019 01:00PM ET,SF,0.36,1200,,,Julian Edelman,950,950,160
TE,Garrison Sanborn (13565548),Garrison Sanborn,13565548,TE/FLEX,2500,SF@WAS 10/20/2019 01:00PM ET,SF,0,#N/A,,,James White,1050,1050,180
TE,Kaden Smith (13565500),Kaden Smith,13565500,TE/FLEX,2500,ARI@NYG 10/20/2019 01:00PM ET,NYG,0,2200,,,Brandon Bolden,1100,1100,200
TE,Garrett Dickerson (13565542),Garrett Dickerson,13565542,TE/FLEX,2500,ARI@NYG 10/20/2019 01:00PM ET,NYG,0,2200,,,Phillip Dorsett,1200,1200,200
DST,Giants  (13565574),Giants ,13565574,DST,2500,ARI@NYG 10/20/2019 01:00PM ET,NYG,7.67,#N/A,,,Josh Gordon,1300,1300,225
TE,Mo Alie-Cox (13565538),Mo Alie-Cox,13565538,TE/FLEX,2500,HOU@IND 10/20/2019 01:00PM ET,IND,1.56,2200,,,Rex Burkhead,1300,1300,225
TE,Logan Paulsen (13565540),Logan Paulsen,13565540,TE/FLEX,2500,HOU@IND 10/20/2019 01:00PM ET,HOU,0,2200,,,Any Other New England Patriots Player,1600,1600,300
TE,Derek Carrier (13565534),Derek Carrier,13565534,TE/FLEX,2500,OAK@GB 10/20/2019 01:00PM ET,OAK,2.1,2200,,,Robby Anderson,1800,1800,325
TE,Robert Tonyan (13565536),Robert Tonyan,13565536,TE/FLEX,2500,OAK@GB 10/20/2019 01:00PM ET,GB,2.12,2200,,,Jakobi Meyers,2000,2000,350
TE,Tyler Conklin (13565530),Tyler Conklin,13565530,TE/FLEX,2500,MIN@DET 10/20/2019 01:00PM ET,MIN,0,2200,,,Jamison Crowder,2200,2200,400
TE,Logan Thomas (13565532),Logan Thomas,13565532,TE/FLEX,2500,MIN@DET 10/20/2019 01:00PM ET,DET,1.94,1100,,,Ryan Izzo,2200,2200,400
TE,Seth DeValve (13565520),Seth DeValve,13565520,TE/FLEX,2500,JAX@CIN 10/20/2019 01:00PM ET,JAX,0.43,260,,,Demaryius Thomas,2500,2500,500
TE,Matt Orzech (13565522),Matt Orzech,13565522,TE/FLEX,2500,JAX@CIN 10/20/2019 01:00PM ET,JAX,0,#N/A,,,Christopher Herndon,2500,2500,450
TE,Drew Sample (13565524),Drew Sample,13565524,TE/FLEX,2500,JAX@CIN 10/20/2019 01:00PM ET,CIN,0.9,1800,,,Benjamin Watson,2500,2500,550
TE,Cethan Carter (13565526),Cethan Carter,13565526,TE/FLEX,2500,JAX@CIN 10/20/2019 01:00PM ET,CIN,0,2200,,,Tom Brady,2500,2500,500
TE,Clark Harris (13565528),Clark Harris,13565528,TE/FLEX,2500,JAX@CIN 10/20/2019 01:00PM ET,CIN,0,#N/A,,,Ryan Griffin,3300,3300,550
TE,Durham Smythe (13565504),Durham Smythe,13565504,TE/FLEX,2500,MIA@BUF 10/20/2019 01:00PM ET,MIA,0.68,2200,,,Any Other New York Jets Player,3300,3300,600
TE,Nick O'Leary (13565514),Nick O'Leary,13565514,TE/FLEX,2500,MIA@BUF 10/20/2019 01:00PM ET,MIA,1.54,2000,,,Gunner Olszewski,3500,3500,700
TE,Lee Smith (13565516),Lee Smith,13565516,TE/FLEX,2500,MIA@BUF 10/20/2019 01:00PM ET,BUF,1.92,1800,,,Ty Montgomery,4500,4500,850
TE,Tommy Sweeney (13565518),Tommy Sweeney,13565518,TE/FLEX,2500,MIA@BUF 10/20/2019 01:00PM ET,BUF,1.36,1400,,,Sam Darnold,4500,4500,900
TE,Johnny Mundt (13565508),Johnny Mundt,13565508,TE/FLEX,2500,LAR@ATL 10/20/2019 01:00PM ET,LAR,0,2200,,,Matt LaCosse,5000,5000,1100
TE,Luke Stocker (13565510),Luke Stocker,13565510,TE/FLEX,2500,LAR@ATL 10/20/2019 01:00PM ET,ATL,1.1,2200,,,Eric Tomlinson,5000,5000,1050
TE,Jaeden Graham (13565512),Jaeden Graham,13565512,TE/FLEX,2500,LAR@ATL 10/20/2019 01:00PM ET,ATL,0.52,2200,,,Josh Bellamy,7000,7000,1500
DST,Cardinals  (13565575),Cardinals ,13565575,DST,2400,ARI@NYG 10/20/2019 01:00PM ET,ARI,2.5,#N/A,,,Bilal Powell,10000,10000,2200
DST,Lions  (13565577),Lions ,13565577,DST,2300,MIN@DET 10/20/2019 01:00PM ET,DET,8.2,#N/A,,,Daniel Brown,10000,10000,2200
DST,Falcons  (13565576),Falcons ,13565576,DST,2300,LAR@ATL 10/20/2019 01:00PM ET,ATL,1.33,#N/A,,,Trevon Wesco,10000,10000,2200
DST,Ravens  (13565578),Ravens ,13565578,DST,2200,BAL@SEA 10/20/2019 04:25PM ET,BAL,4.33,#N/A,,,Braxton Berrios,10000,10000,2200
DST,Bengals  (13565579),Bengals ,13565579,DST,2100,JAX@CIN 10/20/2019 01:00PM ET,CIN,3.5,#N/A,,,Vyncint Smith,10000,10000,2200
DST,Colts  (13565580),Colts ,13565580,DST,2000,HOU@IND 10/20/2019 01:00PM ET,IND,5.4,#N/A,,,Trenton Cannon,10000,10000,2200
DST,Raiders  (13565581),Raiders ,13565581,DST,1900,OAK@GB 10/20/2019 01:00PM ET,OAK,4.8,#N/A,,,Damien Harris,10000,10000,2200
DST,Redskins  (13565582),Redskins ,13565582,DST,1700,SF@WAS 10/20/2019 01:00PM ET,WAS,5.17,#N/A,,,,,,
DST,Dolphins  (13565583),Dolphins ,13565583,DST,1500,MIA@BUF 10/20/2019 01:00PM ET,MIA,0.6,#N/A,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,
,364,,,,,,,,,,,,,,
,45,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,
,31842720,,,,,,,,,,,,,,
