Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
1728914630,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Mark Stone (13774497),James Neal (13774529),Alex Killorn (13774543),Victor Hedman (13774719),Mikhail Sergachev (13774749),Connor Hellebuyck (13774918),Pat Maroon (13774583),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1728914631,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),James Neal (13774529),Alex Tuch (13774539),Mikhail Sergachev (13774749),Oliver Ekman-Larsson (13774747),David Rittich (13774915),Pat Maroon (13774583),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1728914632,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),James Neal (13774529),Alex Tuch (13774539),Mikhail Sergachev (13774749),Oliver Ekman-Larsson (13774747),Ben Bishop (13774916),Pat Maroon (13774583),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1728914633,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),James Neal (13774529),Alex Tuch (13774539),Mikhail Sergachev (13774749),Oliver Ekman-Larsson (13774747),Mikko Koskinen (13774922),Pat Maroon (13774583),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1728914634,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),James Neal (13774529),Alex Tuch (13774539),Mikhail Sergachev (13774749),Oliver Ekman-Larsson (13774747),Jonathan Quick (13774917),Pat Maroon (13774583),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1728914635,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),James Neal (13774529),Alex Killorn (13774543),Mikhail Sergachev (13774749),Oliver Ekman-Larsson (13774747),Darcy Kuemper (13774914),Pat Maroon (13774583),,,,,,,,,,
1728914636,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),James Neal (13774529),Alex Tuch (13774539),Mikhail Sergachev (13774749),Ryan McDonagh (13774757),Marc-Andre Fleury (13774912),Pat Maroon (13774583),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1728929948,NHL $15K Two-Man Advantage [$3K to 1st] (Afternoon),80909102,$8,Steven Stamkos (13774379),Brayden Point (13774381),Nikita Kucherov (13774493),Alex Tuch (13774539),Alex Killorn (13774543),Mikhail Sergachev (13774749),Oliver Ekman-Larsson (13774747),Andrei Vasilevskiy (13774911),Pat Maroon (13774583),,G,Andrei Vasilevskiy (13774911),Andrei Vasilevskiy,13774911,G,8400,WPG@TB 11/16/2019 04:00PM ET,TB,13.54
,,,,,,,,,,,,,,G,Curtis McElhinney (13774919),Curtis McElhinney,13774919,G,8300,WPG@TB 11/16/2019 04:00PM ET,TB,17.92
,,,,,,,,,,,,,,LW,Leon Draisaitl (13774491),Leon Draisaitl,13774491,W/UTIL,8300,DAL@EDM 11/16/2019 04:00PM ET,EDM,18.87
,,,,,,,,,,,,,,C,Connor McDavid (13774377),Connor McDavid,13774377,C/UTIL,8200,DAL@EDM 11/16/2019 04:00PM ET,EDM,18.28
,,,,,,,,,,,,,,RW,Nikita Kucherov (13774493),Nikita Kucherov,13774493,W/UTIL,8100,WPG@TB 11/16/2019 04:00PM ET,TB,11.53
,,,,,,,,,,,,,,G,Marc-Andre Fleury (13774912),Marc-Andre Fleury,13774912,G,8100,VGK@LA 11/16/2019 04:00PM ET,VGK,14.37
,,,,,,,,,,,,,,G,Mike Smith (13774913),Mike Smith,13774913,G,8000,DAL@EDM 11/16/2019 04:00PM ET,EDM,14.02
,,,,,,,,,,,,,,G,Darcy Kuemper (13774914),Darcy Kuemper,13774914,G,7900,CGY@ARI 11/16/2019 04:00PM ET,ARI,16.36
,,,,,,,,,,,,,,G,Antti Raanta (13774921),Antti Raanta,13774921,G,7900,CGY@ARI 11/16/2019 04:00PM ET,ARI,15.37
,,,,,,,,,,,,,,G,Malcolm Subban (13774920),Malcolm Subban,13774920,G,7900,VGK@LA 11/16/2019 04:00PM ET,VGK,10.02
,,,,,,,,,,,,,,G,Mikko Koskinen (13774922),Mikko Koskinen,13774922,G,7800,DAL@EDM 11/16/2019 04:00PM ET,EDM,16.72
,,,,,,,,,,,,,,G,David Rittich (13774915),David Rittich,13774915,G,7600,CGY@ARI 11/16/2019 04:00PM ET,CGY,15.66
,,,,,,,,,,,,,,G,Ben Bishop (13774916),Ben Bishop,13774916,G,7500,DAL@EDM 11/16/2019 04:00PM ET,DAL,15.19
,,,,,,,,,,,,,,G,Cam Talbot (13774923),Cam Talbot,13774923,G,7400,CGY@ARI 11/16/2019 04:00PM ET,CGY,8.7
,,,,,,,,,,,,,,G,Anton Khudobin (13774924),Anton Khudobin,13774924,G,7300,DAL@EDM 11/16/2019 04:00PM ET,DAL,14.31
,,,,,,,,,,,,,,LW,Max Pacioretty (13774495),Max Pacioretty,13774495,W/UTIL,7200,VGK@LA 11/16/2019 04:00PM ET,VGK,13.18
,,,,,,,,,,,,,,C,Steven Stamkos (13774379),Steven Stamkos,13774379,C/UTIL,7100,WPG@TB 11/16/2019 04:00PM ET,TB,12.94
,,,,,,,,,,,,,,G,Jonathan Quick (13774917),Jonathan Quick,13774917,G,7100,VGK@LA 11/16/2019 04:00PM ET,LA,8.09
,,,,,,,,,,,,,,G,Connor Hellebuyck (13774918),Connor Hellebuyck,13774918,G,7000,WPG@TB 11/16/2019 04:00PM ET,WPG,17.33
,,,,,,,,,,,,,,RW,Mark Stone (13774497),Mark Stone,13774497,W/UTIL,6900,VGK@LA 11/16/2019 04:00PM ET,VGK,11.15
,,,,,,,,,,,,,,G,Jack Campbell (13774925),Jack Campbell,13774925,G,6900,VGK@LA 11/16/2019 04:00PM ET,LA,9.17
,,,,,,,,,,,,,,C,Brayden Point (13774381),Brayden Point,13774381,C/UTIL,6800,WPG@TB 11/16/2019 04:00PM ET,TB,10.23
,,,,,,,,,,,,,,G,Laurent Brossoit (13774926),Laurent Brossoit,13774926,G,6800,WPG@TB 11/16/2019 04:00PM ET,WPG,8.05
,,,,,,,,,,,,,,RW,Matthew Tkachuk (13774499),Matthew Tkachuk,13774499,W/UTIL,6700,CGY@ARI 11/16/2019 04:00PM ET,CGY,12.52
,,,,,,,,,,,,,,D,Victor Hedman (13774719),Victor Hedman,13774719,D/UTIL,6500,WPG@TB 11/16/2019 04:00PM ET,TB,11.96
,,,,,,,,,,,,,,G,Mikhail Berdin (13774932),Mikhail Berdin,13774932,G,6500,WPG@TB 11/16/2019 04:00PM ET,WPG,0
,,,,,,,,,,,,,,G,Zach Fucale (13774934),Zach Fucale,13774934,G,6500,WPG@TB 11/16/2019 04:00PM ET,TB,0
,,,,,,,,,,,,,,G,Scott Wedgewood (13774935),Scott Wedgewood,13774935,G,6500,WPG@TB 11/16/2019 04:00PM ET,TB,0
,,,,,,,,,,,,,,G,Stuart Skinner (13774936),Stuart Skinner,13774936,G,6500,DAL@EDM 11/16/2019 04:00PM ET,EDM,0
,,,,,,,,,,,,,,G,Landon Bow (13774937),Landon Bow,13774937,G,6500,DAL@EDM 11/16/2019 04:00PM ET,DAL,0
,,,,,,,,,,,,,,LW,Johnny Gaudreau (13774501),Johnny Gaudreau,13774501,W/UTIL,6500,CGY@ARI 11/16/2019 04:00PM ET,CGY,10.04
,,,,,,,,,,,,,,G,Eric Comrie (13774927),Eric Comrie,13774927,G,6500,CGY@ARI 11/16/2019 04:00PM ET,ARI,0
,,,,,,,,,,,,,,G,Adin Hill (13774928),Adin Hill,13774928,G,6500,CGY@ARI 11/16/2019 04:00PM ET,ARI,0
,,,,,,,,,,,,,,G,Jon Gillies (13774929),Jon Gillies,13774929,G,6500,CGY@ARI 11/16/2019 04:00PM ET,CGY,0
,,,,,,,,,,,,,,G,Garret Sparks (13774930),Garret Sparks,13774930,G,6500,VGK@LA 11/16/2019 04:00PM ET,VGK,1.4
,,,,,,,,,,,,,,G,Oscar Dansk (13774931),Oscar Dansk,13774931,G,6500,VGK@LA 11/16/2019 04:00PM ET,VGK,0.7
,,,,,,,,,,,,,,G,Calvin Petersen (13774933),Calvin Petersen,13774933,G,6500,VGK@LA 11/16/2019 04:00PM ET,LA,0
,,,,,,,,,,,,,,C,William Karlsson (13774383),William Karlsson,13774383,C/UTIL,6400,VGK@LA 11/16/2019 04:00PM ET,VGK,10.36
,,,,,,,,,,,,,,RW,Patrik Laine (13774503),Patrik Laine,13774503,W/UTIL,6300,WPG@TB 11/16/2019 04:00PM ET,WPG,13.02
,,,,,,,,,,,,,,D,Oscar Klefbom (13774721),Oscar Klefbom,13774721,D/UTIL,6200,DAL@EDM 11/16/2019 04:00PM ET,EDM,12.44
,,,,,,,,,,,,,,C,Sean Monahan (13774385),Sean Monahan,13774385,C/UTIL,6200,CGY@ARI 11/16/2019 04:00PM ET,CGY,9.67
,,,,,,,,,,,,,,RW,Elias Lindholm (13774505),Elias Lindholm,13774505,W/UTIL,6200,CGY@ARI 11/16/2019 04:00PM ET,CGY,10.63
,,,,,,,,,,,,,,RW,Tyler Seguin (13774507),Tyler Seguin,13774507,W/UTIL,6100,DAL@EDM 11/16/2019 04:00PM ET,DAL,10.26
,,,,,,,,,,,,,,LW,Alexander Radulov (13774509),Alexander Radulov,13774509,W/UTIL,6000,DAL@EDM 11/16/2019 04:00PM ET,DAL,9.51
,,,,,,,,,,,,,,C,Anze Kopitar (13774387),Anze Kopitar,13774387,C/UTIL,5900,VGK@LA 11/16/2019 04:00PM ET,LA,11.92
,,,,,,,,,,,,,,LW,Jonathan Marchessault (13774511),Jonathan Marchessault,13774511,W/UTIL,5900,VGK@LA 11/16/2019 04:00PM ET,VGK,9.77
,,,,,,,,,,,,,,RW,Reilly Smith (13774513),Reilly Smith,13774513,W/UTIL,5800,VGK@LA 11/16/2019 04:00PM ET,VGK,10.5
,,,,,,,,,,,,,,D,Mark Giordano (13774723),Mark Giordano,13774723,D/UTIL,5700,CGY@ARI 11/16/2019 04:00PM ET,CGY,11.42
,,,,,,,,,,,,,,C,Mark Scheifele (13774389),Mark Scheifele,13774389,C/UTIL,5600,WPG@TB 11/16/2019 04:00PM ET,WPG,10.74
,,,,,,,,,,,,,,LW,Kyle Connor (13774515),Kyle Connor,13774515,W/UTIL,5600,WPG@TB 11/16/2019 04:00PM ET,WPG,11.27
,,,,,,,,,,,,,,C,Blake Wheeler (13774391),Blake Wheeler,13774391,C/UTIL,5400,WPG@TB 11/16/2019 04:00PM ET,WPG,9.08
,,,,,,,,,,,,,,LW,Nikolaj Ehlers (13774517),Nikolaj Ehlers,13774517,W/UTIL,5400,WPG@TB 11/16/2019 04:00PM ET,WPG,11.14
,,,,,,,,,,,,,,D,Kevin Shattenkirk (13774725),Kevin Shattenkirk,13774725,D/UTIL,5400,WPG@TB 11/16/2019 04:00PM ET,TB,12.72
,,,,,,,,,,,,,,C,Ryan Nugent-Hopkins (13774393),Ryan Nugent-Hopkins,13774393,C/UTIL,5300,DAL@EDM 11/16/2019 04:00PM ET,EDM,10.16
,,,,,,,,,,,,,,RW,Phil Kessel (13774519),Phil Kessel,13774519,W/UTIL,5300,CGY@ARI 11/16/2019 04:00PM ET,ARI,7.96
,,,,,,,,,,,,,,D,Drew Doughty (13774727),Drew Doughty,13774727,D/UTIL,5300,VGK@LA 11/16/2019 04:00PM ET,LA,12.05
,,,,,,,,,,,,,,LW,Tyler Johnson (13774521),Tyler Johnson,13774521,W/UTIL,5100,WPG@TB 11/16/2019 04:00PM ET,TB,7.43
,,,,,,,,,,,,,,D,Miro Heiskanen (13774729),Miro Heiskanen,13774729,D/UTIL,5100,DAL@EDM 11/16/2019 04:00PM ET,DAL,10.06
,,,,,,,,,,,,,,D,Dustin Byfuglien (13774731),Dustin Byfuglien,13774731,D/UTIL,5000,WPG@TB 11/16/2019 04:00PM ET,WPG,0
,,,,,,,,,,,,,,RW,Dustin Brown (13774523),Dustin Brown,13774523,W/UTIL,5000,VGK@LA 11/16/2019 04:00PM ET,LA,8.28
,,,,,,,,,,,,,,D,Josh Morrissey (13774733),Josh Morrissey,13774733,D/UTIL,4900,WPG@TB 11/16/2019 04:00PM ET,WPG,9.06
,,,,,,,,,,,,,,LW,Jamie Benn (13774525),Jamie Benn,13774525,W/UTIL,4900,DAL@EDM 11/16/2019 04:00PM ET,DAL,6.49
,,,,,,,,,,,,,,C,Paul Stastny (13774395),Paul Stastny,13774395,C/UTIL,4900,VGK@LA 11/16/2019 04:00PM ET,VGK,6.66
,,,,,,,,,,,,,,LW,Ondrej Palat (13774527),Ondrej Palat,13774527,W/UTIL,4800,WPG@TB 11/16/2019 04:00PM ET,TB,8.96
,,,,,,,,,,,,,,D,Nate Schmidt (13774735),Nate Schmidt,13774735,D/UTIL,4800,VGK@LA 11/16/2019 04:00PM ET,VGK,10.81
,,,,,,,,,,,,,,LW,James Neal (13774529),James Neal,13774529,W/UTIL,4700,DAL@EDM 11/16/2019 04:00PM ET,EDM,10.1
,,,,,,,,,,,,,,C,Nick Schmaltz (13774397),Nick Schmaltz,13774397,C/UTIL,4700,CGY@ARI 11/16/2019 04:00PM ET,ARI,7.86
,,,,,,,,,,,,,,D,Shea Theodore (13774737),Shea Theodore,13774737,D/UTIL,4700,VGK@LA 11/16/2019 04:00PM ET,VGK,7.14
,,,,,,,,,,,,,,D,Jakob Chychrun (13774739),Jakob Chychrun,13774739,D/UTIL,4600,CGY@ARI 11/16/2019 04:00PM ET,ARI,8.44
,,,,,,,,,,,,,,LW,Jeff Carter (13774531),Jeff Carter,13774531,W/UTIL,4600,VGK@LA 11/16/2019 04:00PM ET,LA,9.13
,,,,,,,,,,,,,,C,Roope Hintz (13774399),Roope Hintz,13774399,C/UTIL,4500,DAL@EDM 11/16/2019 04:00PM ET,DAL,9.22
,,,,,,,,,,,,,,RW,Zack Kassian (13774533),Zack Kassian,13774533,W/UTIL,4500,DAL@EDM 11/16/2019 04:00PM ET,EDM,7.41
,,,,,,,,,,,,,,D,Esa Lindell (13774741),Esa Lindell,13774741,D/UTIL,4500,DAL@EDM 11/16/2019 04:00PM ET,DAL,6.83
,,,,,,,,,,,,,,D,John Klingberg (13774743),John Klingberg,13774743,D/UTIL,4500,DAL@EDM 11/16/2019 04:00PM ET,DAL,6.64
,,,,,,,,,,,,,,D,Darnell Nurse (13774745),Darnell Nurse,13774745,D/UTIL,4400,DAL@EDM 11/16/2019 04:00PM ET,EDM,8.38
,,,,,,,,,,,,,,LW,Clayton Keller (13774535),Clayton Keller,13774535,W/UTIL,4400,CGY@ARI 11/16/2019 04:00PM ET,ARI,8.58
,,,,,,,,,,,,,,D,Mikhail Sergachev (13774749),Mikhail Sergachev,13774749,D/UTIL,4300,WPG@TB 11/16/2019 04:00PM ET,TB,7.99
,,,,,,,,,,,,,,C,Joe Pavelski (13774401),Joe Pavelski,13774401,C/UTIL,4300,DAL@EDM 11/16/2019 04:00PM ET,DAL,8.02
,,,,,,,,,,,,,,RW,Conor Garland (13774537),Conor Garland,13774537,W/UTIL,4300,CGY@ARI 11/16/2019 04:00PM ET,ARI,9.26
,,,,,,,,,,,,,,D,Oliver Ekman-Larsson (13774747),Oliver Ekman-Larsson,13774747,D/UTIL,4300,CGY@ARI 11/16/2019 04:00PM ET,ARI,8.06
,,,,,,,,,,,,,,D,Neal Pionk (13774751),Neal Pionk,13774751,D/UTIL,4200,WPG@TB 11/16/2019 04:00PM ET,WPG,7.84
,,,,,,,,,,,,,,RW,Alex Tuch (13774539),Alex Tuch,13774539,W/UTIL,4200,VGK@LA 11/16/2019 04:00PM ET,VGK,8
,,,,,,,,,,,,,,C,Derek Stepan (13774403),Derek Stepan,13774403,C/UTIL,4100,CGY@ARI 11/16/2019 04:00PM ET,ARI,5.7
,,,,,,,,,,,,,,D,Alex Goligoski (13774753),Alex Goligoski,13774753,D/UTIL,4100,CGY@ARI 11/16/2019 04:00PM ET,ARI,8.46
,,,,,,,,,,,,,,RW,Tyler Toffoli (13774541),Tyler Toffoli,13774541,W/UTIL,4100,VGK@LA 11/16/2019 04:00PM ET,LA,7.53
,,,,,,,,,,,,,,LW,Alex Killorn (13774543),Alex Killorn,13774543,W/UTIL,4000,WPG@TB 11/16/2019 04:00PM ET,TB,8.04
,,,,,,,,,,,,,,D,Alec Martinez (13774755),Alec Martinez,13774755,D/UTIL,4000,VGK@LA 11/16/2019 04:00PM ET,LA,7.93
,,,,,,,,,,,,,,C,Bryan Little (13774405),Bryan Little,13774405,C/UTIL,3900,WPG@TB 11/16/2019 04:00PM ET,WPG,8.34
,,,,,,,,,,,,,,D,Ryan McDonagh (13774757),Ryan McDonagh,13774757,D/UTIL,3900,WPG@TB 11/16/2019 04:00PM ET,TB,7.12
,,,,,,,,,,,,,,RW,Denis Gurianov (13774545),Denis Gurianov,13774545,W/UTIL,3900,DAL@EDM 11/16/2019 04:00PM ET,DAL,7.48
,,,,,,,,,,,,,,D,Adam Larsson (13774759),Adam Larsson,13774759,D/UTIL,3800,DAL@EDM 11/16/2019 04:00PM ET,EDM,9.7
,,,,,,,,,,,,,,C,Mikael Backlund (13774407),Mikael Backlund,13774407,C/UTIL,3800,CGY@ARI 11/16/2019 04:00PM ET,CGY,6.08
,,,,,,,,,,,,,,LW,Alex Iafallo (13774547),Alex Iafallo,13774547,W/UTIL,3800,VGK@LA 11/16/2019 04:00PM ET,LA,7.16
,,,,,,,,,,,,,,C,Anthony Cirelli (13774409),Anthony Cirelli,13774409,C/UTIL,3700,WPG@TB 11/16/2019 04:00PM ET,TB,5.73
,,,,,,,,,,,,,,D,Ethan Bear (13774761),Ethan Bear,13774761,D/UTIL,3700,DAL@EDM 11/16/2019 04:00PM ET,EDM,6
,,,,,,,,,,,,,,LW,Christian Dvorak (13774549),Christian Dvorak,13774549,W/UTIL,3700,CGY@ARI 11/16/2019 04:00PM ET,ARI,7.22
,,,,,,,,,,,,,,RW,Yanni Gourde (13774551),Yanni Gourde,13774551,W/UTIL,3600,WPG@TB 11/16/2019 04:00PM ET,TB,8.39
,,,,,,,,,,,,,,D,Travis Hamonic (13774763),Travis Hamonic,13774763,D/UTIL,3600,CGY@ARI 11/16/2019 04:00PM ET,CGY,6.6
,,,,,,,,,,,,,,RW,Jack Roslovic (13774553),Jack Roslovic,13774553,W/UTIL,3500,WPG@TB 11/16/2019 04:00PM ET,WPG,5.17
,,,,,,,,,,,,,,C,Carl Soderberg (13774411),Carl Soderberg,13774411,C/UTIL,3500,CGY@ARI 11/16/2019 04:00PM ET,ARI,6.2
,,,,,,,,,,,,,,D,Noah Hanifin (13774765),Noah Hanifin,13774765,D/UTIL,3500,CGY@ARI 11/16/2019 04:00PM ET,CGY,7.57
,,,,,,,,,,,,,,RW,Mathieu Joseph (13774555),Mathieu Joseph,13774555,W/UTIL,3400,WPG@TB 11/16/2019 04:00PM ET,TB,5.12
,,,,,,,,,,,,,,C,Radek Faksa (13774413),Radek Faksa,13774413,C/UTIL,3400,DAL@EDM 11/16/2019 04:00PM ET,DAL,6.62
,,,,,,,,,,,,,,D,Sean Walker (13774767),Sean Walker,13774767,D/UTIL,3400,VGK@LA 11/16/2019 04:00PM ET,LA,8.02
,,,,,,,,,,,,,,C,Jason Dickinson (13774415),Jason Dickinson,13774415,C/UTIL,3300,DAL@EDM 11/16/2019 04:00PM ET,DAL,3.88
,,,,,,,,,,,,,,RW,Corey Perry (13774557),Corey Perry,13774557,W/UTIL,3300,DAL@EDM 11/16/2019 04:00PM ET,DAL,5.07
,,,,,,,,,,,,,,D,T.J. Brodie (13774769),T.J. Brodie,13774769,D/UTIL,3300,CGY@ARI 11/16/2019 04:00PM ET,CGY,5.56
,,,,,,,,,,,,,,C,Justin Dowling (13774417),Justin Dowling,13774417,C/UTIL,3200,DAL@EDM 11/16/2019 04:00PM ET,DAL,3.63
,,,,,,,,,,,,,,RW,Vinnie Hinostroza (13774559),Vinnie Hinostroza,13774559,W/UTIL,3200,CGY@ARI 11/16/2019 04:00PM ET,ARI,4.68
,,,,,,,,,,,,,,D,Jordan Oesterle (13774771),Jordan Oesterle,13774771,D/UTIL,3200,CGY@ARI 11/16/2019 04:00PM ET,ARI,5.63
,,,,,,,,,,,,,,D,Erik Cernak (13774773),Erik Cernak,13774773,D/UTIL,3100,WPG@TB 11/16/2019 04:00PM ET,TB,6.72
,,,,,,,,,,,,,,C,Derek Ryan (13774419),Derek Ryan,13774419,C/UTIL,3100,CGY@ARI 11/16/2019 04:00PM ET,CGY,5.31
,,,,,,,,,,,,,,LW,Ilya Kovalchuk (13774561),Ilya Kovalchuk,13774561,W/UTIL,3100,VGK@LA 11/16/2019 04:00PM ET,LA,7.39
,,,,,,,,,,,,,,RW,Alex Chiasson (13774565),Alex Chiasson,13774565,W/UTIL,3000,DAL@EDM 11/16/2019 04:00PM ET,EDM,4.51
,,,,,,,,,,,,,,D,Andrej Sekera (13774777),Andrej Sekera,13774777,D/UTIL,3000,DAL@EDM 11/16/2019 04:00PM ET,DAL,5.4
,,,,,,,,,,,,,,LW,Andrew Mangiapane (13774563),Andrew Mangiapane,13774563,W/UTIL,3000,CGY@ARI 11/16/2019 04:00PM ET,CGY,4.64
,,,,,,,,,,,,,,D,Rasmus Andersson (13774775),Rasmus Andersson,13774775,D/UTIL,3000,CGY@ARI 11/16/2019 04:00PM ET,CGY,6.26
,,,,,,,,,,,,,,C,Cody Eakin (13774421),Cody Eakin,13774421,C/UTIL,3000,VGK@LA 11/16/2019 04:00PM ET,VGK,3.18
,,,,,,,,,,,,,,LW,Andrew Copp (13774567),Andrew Copp,13774567,W/UTIL,2900,WPG@TB 11/16/2019 04:00PM ET,WPG,5.94
,,,,,,,,,,,,,,LW,Barrett Hayton (13774571),Barrett Hayton,13774571,W/UTIL,2900,CGY@ARI 11/16/2019 04:00PM ET,ARI,4.78
,,,,,,,,,,,,,,D,Jason Demers (13774779),Jason Demers,13774779,D/UTIL,2900,CGY@ARI 11/16/2019 04:00PM ET,ARI,4.92
,,,,,,,,,,,,,,D,Niklas Hjalmarsson (13774783),Niklas Hjalmarsson,13774783,D/UTIL,2900,CGY@ARI 11/16/2019 04:00PM ET,ARI,4.92
,,,,,,,,,,,,,,C,Michael Amadio (13774423),Michael Amadio,13774423,C/UTIL,2900,VGK@LA 11/16/2019 04:00PM ET,LA,5.98
,,,,,,,,,,,,,,LW,Cody Glass (13774569),Cody Glass,13774569,W/UTIL,2900,VGK@LA 11/16/2019 04:00PM ET,VGK,4.88
,,,,,,,,,,,,,,D,Nick Holden (13774781),Nick Holden,13774781,D/UTIL,2900,VGK@LA 11/16/2019 04:00PM ET,VGK,6.62
,,,,,,,,,,,,,,C,Cedric Paquette (13774425),Cedric Paquette,13774425,C/UTIL,2800,WPG@TB 11/16/2019 04:00PM ET,TB,6.79
,,,,,,,,,,,,,,D,Dmitry Kulikov (13774789),Dmitry Kulikov,13774789,D/UTIL,2800,WPG@TB 11/16/2019 04:00PM ET,WPG,5.21
,,,,,,,,,,,,,,RW,Blake Comeau (13774575),Blake Comeau,13774575,W/UTIL,2800,DAL@EDM 11/16/2019 04:00PM ET,DAL,3.92
,,,,,,,,,,,,,,D,Taylor Fedun (13774787),Taylor Fedun,13774787,D/UTIL,2800,DAL@EDM 11/16/2019 04:00PM ET,DAL,5.12
,,,,,,,,,,,,,,LW,Michael Grabner (13774573),Michael Grabner,13774573,W/UTIL,2800,CGY@ARI 11/16/2019 04:00PM ET,ARI,5.74
,,,,,,,,,,,,,,RW,Austin Czarnik (13774577),Austin Czarnik,13774577,W/UTIL,2800,CGY@ARI 11/16/2019 04:00PM ET,CGY,4.76
,,,,,,,,,,,,,,D,Ben Hutton (13774785),Ben Hutton,13774785,D/UTIL,2800,VGK@LA 11/16/2019 04:00PM ET,LA,6.2
,,,,,,,,,,,,,,D,Matt Roy (13774791),Matt Roy,13774791,D/UTIL,2800,VGK@LA 11/16/2019 04:00PM ET,LA,7.01
